,review_text,review_date,review_title,review_stars,product_category
59,"This gamepad consists almost all games of 90s Tv video games, it will make you feel nostalgia.The games like super mario and contra with same sound effects, well apart from that this console build quality is good and i received yellow color randomly.go for it, your childhood will be rewind.",Reviewed in India 🇮🇳 on 9 May 2022,"5.0 out of 5 stars
childhood rewind.",5.0 out of 5 stars,Toys & Games
60,"Very good console.Looks good, battery life is good, it takes you back to the old times.Overall I am satisfied with the console and will recommend to go for it.",Reviewed in India 🇮🇳 on 1 July 2022,"5.0 out of 5 stars
Good Old Memories 😊",5.0 out of 5 stars,Toys & Games
61,Bad quality product,Reviewed in India 🇮🇳 on 12 March 2023,"1.0 out of 5 stars
Bad quality",1.0 out of 5 stars,Toys & Games
62,One of best product I find out on Amazon.The games playing which my childhood has gone.Best product.,Reviewed in India 🇮🇳 on 13 July 2022,"5.0 out of 5 stars
Amazing product",5.0 out of 5 stars,Toys & Games
63,Product not in working condition.,Reviewed in India 🇮🇳 on 5 February 2023,"1.0 out of 5 stars
Defective Product",1.0 out of 5 stars,Toys & Games
64,Bad performance,Reviewed in India 🇮🇳 on 20 January 2023,"1.0 out of 5 stars
Bad Performance",1.0 out of 5 stars,Toys & Games
65,Battery damaged on the 1st day of use itself. Display damaged on 2nd day. Worst product. Hopeless product.,Reviewed in India 🇮🇳 on 28 October 2022,"1.0 out of 5 stars
Worst purchase. Never buy.",1.0 out of 5 stars,Toys & Games
66,Very very low quality product. Battery is working only half an hour and keypad of this game also not working properly. Waste of money.,Reviewed in India 🇮🇳 on 31 July 2022,"1.0 out of 5 stars
Very bad product",1.0 out of 5 stars,Toys & Games
67,Revive my childhood days,Reviewed in India 🇮🇳 on 3 July 2022,"5.0 out of 5 stars
Awesome product",5.0 out of 5 stars,Toys & Games
68,"This video game is too costly, not worth to buy. Yes it reminds us of our old days but we can get it in less amount. Not satisfied.",Reviewed in India 🇮🇳 on 22 May 2022,"1.0 out of 5 stars
Not worth to buy.",1.0 out of 5 stars,Toys & Games
69,Please don’t purchase this….. worst product why it’s Amazon fulfilled I don’t know.,Reviewed in India 🇮🇳 on 16 October 2022,"1.0 out of 5 stars
Worst product.",1.0 out of 5 stars,Toys & Games
70,Was broken when received..Is very cheap plastic,Reviewed in India 🇮🇳 on 19 November 2022,"1.0 out of 5 stars
Poor quality",1.0 out of 5 stars,Toys & Games
71,battery is waste its not working .,Reviewed in India 🇮🇳 on 21 October 2022,"1.0 out of 5 stars
waste product",1.0 out of 5 stars,Toys & Games
72,Got this product without battery cover.now how to get that cover?,Reviewed in India 🇮🇳 on 18 August 2022,"1.0 out of 5 stars
Forget to send the battery cover",1.0 out of 5 stars,Toys & Games
73,The product did not work even for a day. Don’t waste your money.,Reviewed in India 🇮🇳 on 12 July 2022,"1.0 out of 5 stars
Useless product.. wastage of money",1.0 out of 5 stars,Toys & Games
74,"Pros:400 games. Some games are simple to play. Good distraction for small kids from smartphones. Price seems just right for what they offer (with the deal of 60% off and not msrp)Cons:More than half of games are similar with just UI change. Build quality is extremely cheap(anything from screen to button and inner board). Screen size and image quality is utter rubbish. Long hours of usage is bad for eyes of kids. Old nokia phone batteries are used(bl-4d). Take too long to charge and discharges much faster.No. But, I don't think there is anything anywhere near the budget that can be offered with these features with good build quality. Guess cheap quality chinese products are the only options out there. If better options are available, do hunt it out. I was not able to, searching for 3 straight days.",Reviewed in India 🇮🇳 on 14 June 2023,"2.0 out of 5 stars
Cheap quality china toy",2.0 out of 5 stars,Toys & Games
75,Just opened the box only to find the product is damaged,Reviewed in India 🇮🇳 on 31 July 2022,"1.0 out of 5 stars
Worse Quality",1.0 out of 5 stars,Toys & Games
76,Worst service worst product.. Don't buy,Reviewed in India 🇮🇳 on 29 August 2022,"1.0 out of 5 stars
Worst product.. Worst service by seller. Refund not initiating till 15-15 days",1.0 out of 5 stars,Toys & Games
77,It’s like a very cheap product,Reviewed in India 🇮🇳 on 26 June 2022,"1.0 out of 5 stars
Not value of money",1.0 out of 5 stars,Toys & Games
78,Not working,Reviewed in India 🇮🇳 on 29 July 2022,"1.0 out of 5 stars
Faulty product. No display coming",1.0 out of 5 stars,Toys & Games
79,Dusre hi din kharab ho gaya. And handgame remote to kharab hi aya tha.Built quality is also very poor,Reviewed in India 🇮🇳 on 4 October 2022,"1.0 out of 5 stars
Worst product",1.0 out of 5 stars,Toys & Games
80,A good gazette and very handy.. sup game is super🤩,Reviewed in India on 1 July 2022,"5.0 out of 5 stars
Super sup game",5.0 out of 5 stars,Toys & Games
81,These 400 games are far better thn PUBg and all finally i got the product which i was searching from past few days. its build up quality is also good and you will get all casette games in one aside that you can also connect the same with TV as well.,Reviewed in India on 15 May 2023,"5.0 out of 5 stars
Childhood memory",5.0 out of 5 stars,Toys & Games
82,This is valuable product.This is best video game consoles.This is really useful for kids.Its unique design video game.,Reviewed in India on 17 January 2023,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Toys & Games
83,Content of the games is very good.Quality and bettery life is good.Very light weight.,Reviewed in India on 2 March 2023,"5.0 out of 5 stars
Nice game",5.0 out of 5 stars,Toys & Games
84,"This is a Handy Game 400 in 1 and With 400 games to choose from, there's always something new and exciting to play. This device is having my favourite game Super Mario.The controls are easy to use and the graphics are surprisingly good for a handheld device. I've been playing it for hours and the battery life is impressive, I haven't had to charge it yet.Overall, I would highly recommend the Handy Game 400 in 1 to anyone looking for a fun and convenient handheld gaming device. It's affordable, easy to use, and provides hours of entertainment.",Reviewed in India on 11 May 2023,"5.0 out of 5 stars
Amazing product",5.0 out of 5 stars,Toys & Games
85,Good product. One of the good feacher is having rechargeable battery. Cluster of 400 games. Games can keep away the children from mobile.,Reviewed in India on 1 March 2023,"5.0 out of 5 stars
Value for money",5.0 out of 5 stars,Toys & Games
86,Bought this just because I'd played a similar game n my childhood. My kids are now enjoying to play and it has 400 inbuilt games.,Reviewed in India on 2 March 2023,"5.0 out of 5 stars
Nice one to engage kids",5.0 out of 5 stars,Toys & Games
87,Very good product. battrey life is long. suggest to buy product. value for money. best product to buy.,Reviewed in India on 23 August 2022,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,Toys & Games
88,"Handy and classy.Quality is okay, buttons gives an haptic sound and it helps to keep away the children from mobile. They loved it and keep exploring the new games and all the time.",Reviewed in India on 20 February 2023,"5.0 out of 5 stars
compact design",5.0 out of 5 stars,Toys & Games
89,Bought it for my 5 yr old daughter. Design is cute and handy. She loved it and busy exploring all the games in it. Only concern is the buttons which sometimes are getting stuck. Apart from that overall good.,Reviewed in India on 27 February 2023,"5.0 out of 5 stars
Handy and Engaging",5.0 out of 5 stars,Toys & Games
90,This is good video game . My son likes it to much and now he does play game in my mobile.I am very happy to see it and now I can use my mobile. It has a lots of types of games .,Reviewed in India 🇮🇳 on 12 May 2023,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Toys & Games
91,Very good quality video game. I have gifted this game to my kid on his birthday my kid is very happy.,Reviewed in India 🇮🇳 on 11 May 2023,"5.0 out of 5 stars
Happy kids",5.0 out of 5 stars,Toys & Games
92,really worth buying i remember my old days and this gadget is get back old days.Thanks for this deal.SO HAPPYY,Reviewed in India 🇮🇳 on 4 December 2022,"5.0 out of 5 stars
old days is back",5.0 out of 5 stars,Toys & Games
93,Best thing od thi game is that it has changable battery so no need to purchase again nd again. It reminds me my childhood. I was more happy to see this for my child.,Reviewed in India 🇮🇳 on 27 February 2023,"5.0 out of 5 stars
Remind of my Childhood",5.0 out of 5 stars,Toys & Games
94,"This is best product for kids. It comes with battery, chargery, gamin handset and video audio connector to TV. I bought for my son so that mobile time would reduce, and definitely it helped. Also to mention it has 200 games, battery life is also good, worth every penny",Reviewed in India 🇮🇳 on 19 March 2023,"5.0 out of 5 stars
Best Product, cost effective and good for kids",5.0 out of 5 stars,Toys & Games
95,"I just love the product, easy to use and portable. It brings back my childhood memories of playing video games. The built quality is good and it has lot of traditional games, i enjoy a lot.",Reviewed in India 🇮🇳 on 20 May 2023,"5.0 out of 5 stars
I am loving it",5.0 out of 5 stars,Toys & Games
96,I bought this for my child.she is 5 year old.she always used mobile evey time but now she use this.she is very happy.it has lots of game.its great time pass also good for mind,Reviewed in India 🇮🇳 on 20 May 2023,"5.0 out of 5 stars
Superb game",5.0 out of 5 stars,Toys & Games
97,Nice !!olden memories ..i bought it for my kids and they really loved it .so many games loved it.now they are fond of this than mobile phone,Reviewed in India 🇮🇳 on 8 February 2023,"5.0 out of 5 stars
Cool and amazing",5.0 out of 5 stars,Toys & Games
98,The game is compact and nice easy to carry  very easy to use and best for all age. Groups even good for elder to play with good quality value for money.,Reviewed in India 🇮🇳 on 23 April 2023,"5.0 out of 5 stars
Good quality product.",5.0 out of 5 stars,Toys & Games
