,review_text,review_date,review_title,review_stars,product_category,text,tokenized,stopwords_removed,porter_stemmed,all_text,SGDClassifier,CatBoostClassifier,LinearSVC,RidgeClassifier,LGBMClassifier,XGBClassifier,MultinomialNB,BaggingClassifier,AdaBoostClassifier,Result
10,"I purchased arithmetical learning toy for divansh and it's fabulous. On the one hand Divansh enjoy playing with it and also enhancing his mathematical skills. Quality of the product is superb, It is helping in improving brain power too.",Reviewed in India 🇮🇳 on 24 March 2023,"5.0 out of 5 stars
Interesting learning toy",5.0 out of 5 stars,Toys & Games,"I purchased arithmetical learning toy for divansh and it's fabulous. On the one hand Divansh enjoy playing with it and also enhancing his mathematical skills. Quality of the product is superb, It is helping in improving brain power too.","['I', 'purchased', 'arithmetical', 'learning', 'toy', 'for', 'divansh', 'and', 'it', 'fabulous', 'On', 'the', 'one', 'hand', 'Divansh', 'enjoy', 'playing', 'with', 'it', 'and', 'also', 'enhancing', 'his', 'mathematical', 'skills', 'Quality', 'of', 'the', 'product', 'is', 'superb', 'It', 'is', 'helping', 'in', 'improving', 'brain', 'power', 'too']","['I', 'purchased', 'arithmetical', 'learning', 'toy', 'divansh', 'fabulous', 'On', 'one', 'hand', 'Divansh', 'enjoy', 'playing', 'also', 'enhancing', 'mathematical', 'skills', 'Quality', 'product', 'superb', 'It', 'helping', 'improving', 'brain', 'power']","['i', 'purchas', 'arithmet', 'learn', 'toy', 'divansh', 'fabul', 'on', 'one', 'hand', 'divansh', 'enjoy', 'play', 'also', 'enhanc', 'mathemat', 'skill', 'qualiti', 'product', 'superb', 'it', 'help', 'improv', 'brain', 'power']",i purchas arithmet learn toy divansh fabul on one hand divansh enjoy play also enhanc mathemat skill qualiti product superb it help improv brain power,0,1,0,0,1,1,0,1,1,1
11,This magnetic arithmetic for kids is great for making them learn simple maths.It's colorful with bold numbers written.Easy to carry anywhere. Must try out.,Reviewed in India 🇮🇳 on 3 April 2023,"5.0 out of 5 stars
Good Option To Learn!!",5.0 out of 5 stars,Toys & Games,This magnetic arithmetic for kids is great for making them learn simple maths.It's colorful with bold numbers written.Easy to carry anywhere. Must try out.,"['This', 'magnetic', 'arithmetic', 'for', 'kids', 'is', 'great', 'for', 'making', 'them', 'learn', 'simple', 'colorful', 'with', 'bold', 'numbers', 'to', 'carry', 'anywhere', 'Must', 'try', 'out']","['This', 'magnetic', 'arithmetic', 'kids', 'great', 'making', 'learn', 'simple', 'colorful', 'bold', 'numbers', 'carry', 'anywhere', 'Must', 'try']","['thi', 'magnet', 'arithmet', 'kid', 'great', 'make', 'learn', 'simpl', 'color', 'bold', 'number', 'carri', 'anywher', 'must', 'tri']",thi magnet arithmet kid great make learn simpl color bold number carri anywher must tri,0,0,0,0,0,0,0,0,0,0
12,"Product quality is good, however numbers have faded already within a week.",Reviewed in India 🇮🇳 on 3 September 2022,"4.0 out of 5 stars
Good quality product",4.0 out of 5 stars,Toys & Games,"Product quality is good, however numbers have faded already within a week.","['Product', 'quality', 'is', 'good', 'however', 'numbers', 'have', 'faded', 'already', 'within', 'a', 'week']","['Product', 'quality', 'good', 'however', 'numbers', 'faded', 'already', 'within', 'week']","['product', 'qualiti', 'good', 'howev', 'number', 'fade', 'alreadi', 'within', 'week']",product qualiti good howev number fade alreadi within week,0,0,0,0,0,0,0,0,0,0
13,Kids can benefit greatly from it in terms of improving their mathematical abilities. Having a trustbox such as this is a lot of fun for my nephew because it is colorful and attractive.,Reviewed in India 🇮🇳 on 21 January 2023,"5.0 out of 5 stars
Simple maths learning toy for small kids",5.0 out of 5 stars,Toys & Games,Kids can benefit greatly from it in terms of improving their mathematical abilities. Having a trustbox such as this is a lot of fun for my nephew because it is colorful and attractive.,"['Kids', 'can', 'benefit', 'greatly', 'from', 'it', 'in', 'terms', 'of', 'improving', 'their', 'mathematical', 'abilities', 'Having', 'a', 'trustbox', 'such', 'as', 'this', 'is', 'a', 'lot', 'of', 'fun', 'for', 'my', 'nephew', 'because', 'it', 'is', 'colorful', 'and', 'attractive']","['Kids', 'benefit', 'greatly', 'terms', 'improving', 'mathematical', 'abilities', 'Having', 'trustbox', 'lot', 'fun', 'nephew', 'colorful', 'attractive']","['kid', 'benefit', 'greatli', 'term', 'improv', 'mathemat', 'abil', 'have', 'trustbox', 'lot', 'fun', 'nephew', 'color', 'attract']",kid benefit greatli term improv mathemat abil have trustbox lot fun nephew color attract,0,0,0,0,0,0,0,0,0,0
14,The media could not be loaded.,Reviewed in India 🇮🇳 on 4 September 2022,"4.0 out of 5 stars
2 sets are Repellent to each other",4.0 out of 5 stars,Toys & Games,The media could not be loaded.,"['The', 'media', 'could', 'not', 'be', 'loaded']","['The', 'media', 'could', 'loaded']","['the', 'media', 'could', 'load']",the media could load,1,1,1,1,1,1,0,1,1,1
15,"The media could not be loaded.
                



 The trust box educational toys is very helpfull...my kid really liked it and it's useful product ..its magnetic one so it attractive for kids ...quality also good ...people who looking for educational toy can take this ..Thank you fr this good product",Reviewed in India 🇮🇳 on 9 December 2022,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,Toys & Games,The media could not be loaded.                      The trust box educational toys is very helpfull...my kid really liked it and it's useful product ..its magnetic one so it attractive for kids ...quality also good ...people who looking for educational toy can take this ..Thank you fr this good product,"['The', 'media', 'could', 'not', 'be', 'loaded', 'The', 'trust', 'box', 'educational', 'toys', 'is', 'very', 'helpfull', 'my', 'kid', 'really', 'liked', 'it', 'and', 'it', 'useful', 'product', 'its', 'magnetic', 'one', 'so', 'it', 'attractive', 'for', 'kids', 'quality', 'also', 'good', 'people', 'who', 'looking', 'for', 'educational', 'toy', 'can', 'take', 'this', 'Thank', 'you', 'fr', 'this', 'good', 'product']","['The', 'media', 'could', 'loaded', 'The', 'trust', 'box', 'educational', 'toys', 'helpfull', 'kid', 'really', 'liked', 'useful', 'product', 'magnetic', 'one', 'attractive', 'kids', 'quality', 'also', 'good', 'people', 'looking', 'educational', 'toy', 'take', 'Thank', 'fr', 'good', 'product']","['the', 'media', 'could', 'load', 'the', 'trust', 'box', 'educ', 'toy', 'helpful', 'kid', 'realli', 'like', 'use', 'product', 'magnet', 'one', 'attract', 'kid', 'qualiti', 'also', 'good', 'peopl', 'look', 'educ', 'toy', 'take', 'thank', 'fr', 'good', 'product']",the media could load the trust box educ toy helpful kid realli like use product magnet one attract kid qualiti also good peopl look educ toy take thank fr good product,0,1,1,1,0,0,0,0,1,1
16,Within fifteen days numbers display was erased. Totally waste,Reviewed in India 🇮🇳 on 18 May 2023,"1.0 out of 5 stars
Waste",1.0 out of 5 stars,Toys & Games,Within fifteen days numbers display was erased. Totally waste,"['Within', 'fifteen', 'days', 'numbers', 'display', 'was', 'erased', 'Totally', 'waste']","['Within', 'fifteen', 'days', 'numbers', 'display', 'erased', 'Totally', 'waste']","['within', 'fifteen', 'day', 'number', 'display', 'eras', 'total', 'wast']",within fifteen day number display eras total wast,0,0,0,0,0,0,0,0,0,0
17,This toy is very much helpful for kids to learn and improve mathematics. The colours are highly attractive and perfectly handy in size. My four year old kiddo is already in love with this magnetic toy!,Reviewed in India 🇮🇳 on 6 November 2022,"5.0 out of 5 stars
Perfect learning toy",5.0 out of 5 stars,Toys & Games,This toy is very much helpful for kids to learn and improve mathematics. The colours are highly attractive and perfectly handy in size. My four year old kiddo is already in love with this magnetic toy!,"['This', 'toy', 'is', 'very', 'much', 'helpful', 'for', 'kids', 'to', 'learn', 'and', 'improve', 'mathematics', 'The', 'colours', 'are', 'highly', 'attractive', 'and', 'perfectly', 'handy', 'in', 'size', 'My', 'four', 'year', 'old', 'kiddo', 'is', 'already', 'in', 'love', 'with', 'this', 'magnetic', 'toy']","['This', 'toy', 'much', 'helpful', 'kids', 'learn', 'improve', 'mathematics', 'The', 'colours', 'highly', 'attractive', 'perfectly', 'handy', 'size', 'My', 'four', 'year', 'old', 'kiddo', 'already', 'love', 'magnetic', 'toy']","['thi', 'toy', 'much', 'help', 'kid', 'learn', 'improv', 'mathemat', 'the', 'colour', 'highli', 'attract', 'perfectli', 'handi', 'size', 'my', 'four', 'year', 'old', 'kiddo', 'alreadi', 'love', 'magnet', 'toy']",thi toy much help kid learn improv mathemat the colour highli attract perfectli handi size my four year old kiddo alreadi love magnet toy,0,0,0,0,0,0,0,0,0,0
18,Not worth. It's too tiny and non compact able,Reviewed in India 🇮🇳 on 10 May 2023,"1.0 out of 5 stars
Bad purchase",1.0 out of 5 stars,Toys & Games,Not worth. It's too tiny and non compact able,"['Not', 'worth', 'It', 'too', 'tiny', 'and', 'non', 'compact', 'able']","['Not', 'worth', 'It', 'tiny', 'non', 'compact', 'able']","['not', 'worth', 'it', 'tini', 'non', 'compact', 'abl']",not worth it tini non compact abl,0,0,0,0,0,1,0,1,0,0
19,Good product for kids to improve the mathematical ability.  My niece loved the product.,Reviewed in India 🇮🇳 on 9 December 2022,"5.0 out of 5 stars
Over all good product",5.0 out of 5 stars,Toys & Games,Good product for kids to improve the mathematical ability.  My niece loved the product.,"['Good', 'product', 'for', 'kids', 'to', 'improve', 'the', 'mathematical', 'ability', 'My', 'niece', 'loved', 'the', 'product']","['Good', 'product', 'kids', 'improve', 'mathematical', 'ability', 'My', 'niece', 'loved', 'product']","['good', 'product', 'kid', 'improv', 'mathemat', 'abil', 'my', 'niec', 'love', 'product']",good product kid improv mathemat abil my niec love product,1,1,1,1,1,1,1,0,1,1
20,"The media could not be loaded.
                



 Its compact , colorful and fun way to play with numbers. my kid is able to get interest in learning while playing. The product quality is nice too.",Reviewed in India on 12 November 2022,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,Toys & Games,"The media could not be loaded.                      Its compact , colorful and fun way to play with numbers. my kid is able to get interest in learning while playing. The product quality is nice too.","['The', 'media', 'could', 'not', 'be', 'loaded', 'Its', 'compact', 'colorful', 'and', 'fun', 'way', 'to', 'play', 'with', 'numbers', 'my', 'kid', 'is', 'able', 'to', 'get', 'interest', 'in', 'learning', 'while', 'playing', 'The', 'product', 'quality', 'is', 'nice', 'too']","['The', 'media', 'could', 'loaded', 'Its', 'compact', 'colorful', 'fun', 'way', 'play', 'numbers', 'kid', 'able', 'get', 'interest', 'learning', 'playing', 'The', 'product', 'quality', 'nice']","['the', 'media', 'could', 'load', 'it', 'compact', 'color', 'fun', 'way', 'play', 'number', 'kid', 'abl', 'get', 'interest', 'learn', 'play', 'the', 'product', 'qualiti', 'nice']",the media could load it compact color fun way play number kid abl get interest learn play the product qualiti nice,0,0,0,0,0,0,0,0,0,0
21,"Great product, fun and educational 👍",Reviewed in India on 26 December 2022,"5.0 out of 5 stars
Great product, fun and educational 👍",5.0 out of 5 stars,Toys & Games,"Great product, fun and educational 👍","['Great', 'product', 'fun', 'and', 'educational']","['Great', 'product', 'fun', 'educational']","['great', 'product', 'fun', 'educ']",great product fun educ,0,0,0,0,0,0,0,0,0,0
22,"The media could not be loaded.
                



 It is sooo usefull to my kid education to learn basic.",Reviewed in India on 9 December 2022,"5.0 out of 5 stars
It soo usefull to my kid education to learn basic.",5.0 out of 5 stars,Toys & Games,The media could not be loaded.                      It is sooo usefull to my kid education to learn basic.,"['The', 'media', 'could', 'not', 'be', 'loaded', 'It', 'is', 'sooo', 'usefull', 'to', 'my', 'kid', 'education', 'to', 'learn', 'basic']","['The', 'media', 'could', 'loaded', 'It', 'sooo', 'usefull', 'kid', 'education', 'learn', 'basic']","['the', 'media', 'could', 'load', 'it', 'sooo', 'useful', 'kid', 'educ', 'learn', 'basic']",the media could load it sooo useful kid educ learn basic,0,0,0,0,0,0,0,0,0,0
23,Very Useful & multipurpose Educational toy. it's perfect magnetic toy for counting. Totally there are 12 pieces with 6 different colours.This is a really fun magnetic number game for kids.. Easy way to play and learn while enjoying..colours are very attractive....My four years kid just loved it.😍Definitely you can go for it.,Reviewed in India on 3 April 2022,"5.0 out of 5 stars
Excellent magnetic toy for math counting",5.0 out of 5 stars,Toys & Games,Very Useful & multipurpose Educational toy. it's perfect magnetic toy for counting. Totally there are 12 pieces with 6 different colours.This is a really fun magnetic number game for kids.. Easy way to play and learn while enjoying..colours are very attractive....My four years kid just loved it.😍Definitely you can go for it.,"['Very', 'Useful', 'multipurpose', 'Educational', 'toy', 'it', 'perfect', 'magnetic', 'toy', 'for', 'counting', 'Totally', 'there', 'are', 'pieces', 'with', 'different', 'is', 'a', 'really', 'fun', 'magnetic', 'number', 'game', 'for', 'kids', 'Easy', 'way', 'to', 'play', 'and', 'learn', 'while', 'enjoying', 'colours', 'are', 'very', 'attractive', 'My', 'four', 'years', 'kid', 'just', 'loved', 'you', 'can', 'go', 'for', 'it']","['Very', 'Useful', 'multipurpose', 'Educational', 'toy', 'perfect', 'magnetic', 'toy', 'counting', 'Totally', 'pieces', 'different', 'really', 'fun', 'magnetic', 'number', 'game', 'kids', 'Easy', 'way', 'play', 'learn', 'enjoying', 'colours', 'attractive', 'My', 'four', 'years', 'kid', 'loved', 'go']","['veri', 'use', 'multipurpos', 'educ', 'toy', 'perfect', 'magnet', 'toy', 'count', 'total', 'piec', 'differ', 'realli', 'fun', 'magnet', 'number', 'game', 'kid', 'easi', 'way', 'play', 'learn', 'enjoy', 'colour', 'attract', 'my', 'four', 'year', 'kid', 'love', 'go']",veri use multipurpos educ toy perfect magnet toy count total piec differ realli fun magnet number game kid easi way play learn enjoy colour attract my four year kid love go,0,0,1,0,0,0,0,0,0,0
24,Does not serve thr purpose..,Reviewed in India on 21 April 2023,"1.0 out of 5 stars
Does not serve the purpose...if u align one row correctly..all the other rows go incorrect",1.0 out of 5 stars,Toys & Games,Does not serve thr purpose..,"['Does', 'not', 'serve', 'thr', 'purpose']","['Does', 'serve', 'thr', 'purpose']","['doe', 'serv', 'thr', 'purpos']",doe serv thr purpos,1,1,1,1,1,1,1,1,0,1
25,"My daughter liked it, she always asking me to give the numbers in the toy to calculate addition and subtraction and asking her friends for competition. It, really engaging and fun learning math toy.",Reviewed in India on 11 May 2022,"5.0 out of 5 stars
Easy Learning and Engaging",5.0 out of 5 stars,Toys & Games,"My daughter liked it, she always asking me to give the numbers in the toy to calculate addition and subtraction and asking her friends for competition. It, really engaging and fun learning math toy.","['My', 'daughter', 'liked', 'it', 'she', 'always', 'asking', 'me', 'to', 'give', 'the', 'numbers', 'in', 'the', 'toy', 'to', 'calculate', 'addition', 'and', 'subtraction', 'and', 'asking', 'her', 'friends', 'for', 'competition', 'It', 'really', 'engaging', 'and', 'fun', 'learning', 'math', 'toy']","['My', 'daughter', 'liked', 'always', 'asking', 'give', 'numbers', 'toy', 'calculate', 'addition', 'subtraction', 'asking', 'friends', 'competition', 'It', 'really', 'engaging', 'fun', 'learning', 'math', 'toy']","['my', 'daughter', 'like', 'alway', 'ask', 'give', 'number', 'toy', 'calcul', 'addit', 'subtract', 'ask', 'friend', 'competit', 'it', 'realli', 'engag', 'fun', 'learn', 'math', 'toy']",my daughter like alway ask give number toy calcul addit subtract ask friend competit it realli engag fun learn math toy,0,1,1,1,1,1,0,1,1,1
26,The product is great. My niece loved it. Learning with colours. Very handy with perfect size,Reviewed in India on 21 July 2022,"5.0 out of 5 stars
Very handy and perfect size for kids",5.0 out of 5 stars,Toys & Games,The product is great. My niece loved it. Learning with colours. Very handy with perfect size,"['The', 'product', 'is', 'great', 'My', 'niece', 'loved', 'it', 'Learning', 'with', 'colours', 'Very', 'handy', 'with', 'perfect', 'size']","['The', 'product', 'great', 'My', 'niece', 'loved', 'Learning', 'colours', 'Very', 'handy', 'perfect', 'size']","['the', 'product', 'great', 'my', 'niec', 'love', 'learn', 'colour', 'veri', 'handi', 'perfect', 'size']",the product great my niec love learn colour veri handi perfect size,0,1,0,0,1,1,0,1,1,1
27,"The media could not be loaded.
                



 This makes learning maths fun. As it's magnetic children have fun learning how magnetic forces attract and repel, so a bit if science knowledge as well.",Reviewed in India on 17 March 2022,"5.0 out of 5 stars
Fun learning math toy",5.0 out of 5 stars,Toys & Games,"The media could not be loaded.                      This makes learning maths fun. As it's magnetic children have fun learning how magnetic forces attract and repel, so a bit if science knowledge as well.","['The', 'media', 'could', 'not', 'be', 'loaded', 'This', 'makes', 'learning', 'maths', 'fun', 'As', 'it', 'magnetic', 'children', 'have', 'fun', 'learning', 'how', 'magnetic', 'forces', 'attract', 'and', 'repel', 'so', 'a', 'bit', 'if', 'science', 'knowledge', 'as', 'well']","['The', 'media', 'could', 'loaded', 'This', 'makes', 'learning', 'maths', 'fun', 'As', 'magnetic', 'children', 'fun', 'learning', 'magnetic', 'forces', 'attract', 'repel', 'bit', 'science', 'knowledge', 'well']","['the', 'media', 'could', 'load', 'thi', 'make', 'learn', 'math', 'fun', 'as', 'magnet', 'children', 'fun', 'learn', 'magnet', 'forc', 'attract', 'repel', 'bit', 'scienc', 'knowledg', 'well']",the media could load thi make learn math fun as magnet children fun learn magnet forc attract repel bit scienc knowledg well,0,0,0,0,0,0,0,1,0,0
28,,Reviewed in India on 25 July 2022,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Toys & Games, ,[],[],[],,0,0,0,0,0,0,0,0,0,0
29,My kids are playing and enjoying with this product.Easy way to play & learn while enjoying.,Reviewed in India on 22 March 2022,"5.0 out of 5 stars
Very useful product and excellent. Especially for kids.",5.0 out of 5 stars,Toys & Games,My kids are playing and enjoying with this product.Easy way to play & learn while enjoying.,"['My', 'kids', 'are', 'playing', 'and', 'enjoying', 'with', 'this', 'way', 'to', 'play', 'learn', 'while', 'enjoying']","['My', 'kids', 'playing', 'enjoying', 'way', 'play', 'learn', 'enjoying']","['my', 'kid', 'play', 'enjoy', 'way', 'play', 'learn', 'enjoy']",my kid play enjoy way play learn enjoy,0,0,0,0,0,0,0,0,0,0
30,Good quality magnetic material 2 sets.. easy to hold..engaging for my 5 year old.,Reviewed in India on 19 March 2022,"5.0 out of 5 stars
Engaging",5.0 out of 5 stars,Toys & Games,Good quality magnetic material 2 sets.. easy to hold..engaging for my 5 year old.,"['Good', 'quality', 'magnetic', 'material', 'sets', 'easy', 'to', 'hold', 'engaging', 'for', 'my', 'year', 'old']","['Good', 'quality', 'magnetic', 'material', 'sets', 'easy', 'hold', 'engaging', 'year', 'old']","['good', 'qualiti', 'magnet', 'materi', 'set', 'easi', 'hold', 'engag', 'year', 'old']",good qualiti magnet materi set easi hold engag year old,0,0,0,0,0,0,0,0,0,0
31,It is very small and not mach any number total waste of money.,Reviewed in India on 2 December 2022,"1.0 out of 5 stars
Waste of money",1.0 out of 5 stars,Toys & Games,It is very small and not mach any number total waste of money.,"['It', 'is', 'very', 'small', 'and', 'not', 'mach', 'any', 'number', 'total', 'waste', 'of', 'money']","['It', 'small', 'mach', 'number', 'total', 'waste', 'money']","['it', 'small', 'mach', 'number', 'total', 'wast', 'money']",it small mach number total wast money,0,1,0,0,1,1,0,1,0,1
32,not worth buying....,Reviewed in India on 25 December 2022,"1.0 out of 5 stars
not that great. very expensive.. n no return option",1.0 out of 5 stars,Toys & Games,not worth buying....,"['not', 'worth', 'buying']","['worth', 'buying']","['worth', 'buy']",worth buy,1,0,1,1,1,1,1,1,0,1
33,,Reviewed in India on 1 January 2023,"1.0 out of 5 stars
Bad quality",1.0 out of 5 stars,Toys & Games, ,[],[],[],,0,0,0,0,0,0,0,0,0,0
34,Bad experience,Reviewed in India on 27 December 2022,"1.0 out of 5 stars
Some items in product were missing and it’s not up to expectations",1.0 out of 5 stars,Toys & Games,Bad experience,"['Bad', 'experience']","['Bad', 'experience']","['bad', 'experi']",bad experi,0,0,0,0,0,0,0,0,0,0
